Timestamp,Episode,Progress
2024-08-28 14:15:35.031494,0,0
2024-08-28 14:15:37.491632,0,-28
2024-08-28 14:15:38.137506,1,-38
2024-08-28 14:15:38.771636,2,-24
2024-08-28 14:15:39.411554,3,38
2024-08-28 14:15:41.875354,4,-34
2024-08-28 14:15:42.515445,5,42
2024-08-28 14:15:44.979193,6,-127
2024-08-28 14:15:45.619177,7,-6
2024-08-28 14:15:48.691009,8,38
2024-08-28 14:15:51.762785,9,35
2024-08-28 14:15:52.402878,10,4
2024-08-28 14:15:53.042775,11,8
2024-08-28 14:15:56.114629,12,12
2024-08-28 14:15:56.754542,13,4
2024-08-28 14:15:57.394534,14,2
2024-08-28 14:15:58.034458,15,0
2024-08-28 14:15:58.674442,16,0
2024-08-28 14:15:59.315015,17,0
2024-08-28 14:15:59.954485,18,1
2024-08-28 14:16:00.594475,19,0
2024-08-28 14:16:01.250528,20,0
2024-08-28 14:16:01.890407,21,1
2024-08-28 14:16:02.530355,22,0
2024-08-28 14:16:03.170335,23,0
2024-08-28 14:16:03.810394,24,0
2024-08-28 14:16:05.666051,25,18
2024-08-28 14:16:06.306089,26,0
2024-08-28 14:16:08.162010,27,0
2024-08-28 14:16:08.802001,28,0
2024-08-28 14:16:11.265836,29,1
2024-08-28 14:16:11.905798,30,1
2024-08-28 14:16:13.153633,31,1
2024-08-28 14:16:13.793715,32,0
2024-08-28 14:16:14.433735,33,1
2024-08-28 14:16:15.073659,34,1
2024-08-28 14:16:16.321560,35,1
